REQUESTID,DATETIMEINIT,SOURCE,DESCRIPTION,REQCATEGORY,STATUS,REFERREDTO,DATETIMECLOSED,BEAT,PROBADDRESS,City,State,Ward,Postcode
513555,2014-04-17T15:08:18.000,Telephone/Email,Yard Trimmings - Food Pail Request,Recycling,Resolved,,2014-04-23T14:35:57.000,09X,71 ECHO AV,Wandsworth,London,Tooting,SW17 8AA
553744,2014-12-04T08:52:45.000,Online Form,City Bldg - Electrical Inside/Outside,Council Building Maintenance,Resolved,,2014-12-24T07:55:44.000,04X,LIONEL J WILSON BUILDING,Wandsworth,London,Wandsworth Common,SW12 8AG
735704,2017-05-31T09:43:37.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2017-06-01T17:24:33.000,32X,E ST & 102ND AV,Wandsworth,London,Furzedown,SW16 6AA
772469,2017-11-08T11:22:41.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-11-11T06:44:35.000,12X,4632 TELEGRAPH AVE,Wandsworth,London,West Putney,SW15 1AD
460365,2013-05-13T12:05:41.000,Telephone/Email,Graffiti on Private Property,Graffiti Removal,Resolved,Council Enforcement,2013-05-24T11:07:03.000,11X,5151 TELEGRAPH AV,Wandsworth,London,East Putney,SW15 2AA
500557,2014-01-27T09:38:23.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2014-02-05T08:04:15.000,18X,1900 SAN ANTONIO WY,Wandsworth,London,West Hill,SW18 1AE
646796,2016-04-11T09:05:01.000,Online Form,City Bldg - Electrical Inside/Outside,Council Building Maintenance,Resolved,,2016-05-02T15:25:09.000,14X,VETERANS MEMORIAL BLDG DOWNTOWN SENIOR CENTER,Wandsworth,London,Bedford,SW12 9AE
943834,2019-09-12T12:20:35.000,FixMyStreet,Parking - Enforcement,Parking Enforcement,GONE ON ARRIVAL,,,02Y,407�467 MANDELA PKWY,Wandsworth,London,West Putney,SW15 1AC
889815,2019-03-27T10:02:39.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-04-11T08:49:45.000,27X,2134 51ST AVE,Wandsworth,London,West Putney,SW15 1AC
493343,2013-12-04T09:33:30.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2013-12-07T13:48:09.000,06X,29TH ST & MARTIN LUTHER KING JR WY,Wandsworth,London,Queenstown,SW8 4AA
671842,2016-07-30T08:57:08.000,FixMyStreet,Storm Drains (report from SeeClickFix,Blocked Drains,Cancelled by Customer,,,12Y,7300-7398 CHABOT RD,Wandsworth,London,East Putney,SW15 1AB
681507,2016-09-12T12:12:03.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2016-09-22T17:51:21.000,06X,30TH ST & MARTIN LUTHER KING JR WAY,Wandsworth,London,Northcote,SW11 6AC
738515,2017-06-13T06:03:17.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-06-14T16:44:46.000,08X,30TH ST & BROOK ST,Wandsworth,London,Shaftesbury,SW11 1AB
806226,2018-04-09T18:23:48.000,FixMyStreet,Graffiti on Traffic Sign(s),Traffic Signage Issues,Resolved,,2018-04-17T10:40:27.000,19X,E 8TH ST & PARK WAY,Wandsworth,London,Bedford,SW12 8AA
547592,2014-10-25T15:20:20.000,FixMyStreet,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2016-07-18T14:05:56.000,15X,269 HANOVER AV,Wandsworth,London,West Putney,SW15 1AD
853918,2018-11-16T08:50:12.000,FixMyStreet,"Graffiti on Street, Street Light, Traffic Signal,",Graffiti Removal,Resolved,,2018-11-19T15:00:52.000,07X,2606 MANDELA PKWY,Wandsworth,London,Roehampton and Putney Heath,SW15 5AA
721449,2017-03-28T10:40:20.000,Phone,City Bldg - Key / Lock Management,Council Building Maintenance,Resolved,,2017-05-18T07:29:35.000,04X,150 FRANK H OGAWA PLZ,Wandsworth,London,Northcote,SW11 5AB
432196,2012-10-31T14:31:15.000,Telephone/Email,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2012-11-05T16:38:40.000,25X,SEMINARY AV & KUHNLE AV,Wandsworth,London,East Putney,SW15 2AA
701871,2017-01-04T08:42:50.000,FixMyStreet,Illegal Dumping (report from SeeClickFix),Fly-Tipping,Cancelled by Customer,,,18Y,22ND AVENUE AND EAST 27TH,Wandsworth,London,Nightingale,SW12 8AF
590456,2015-07-05T19:50:22.000,FixMyStreet,Graffiti (report from SeeClickFix),Graffiti Removal,Resolved,,2015-07-10T11:50:50.000,14Y,435 SUNNYSLOPE AVENUE,Wandsworth,London,Roehampton and Putney Heath,SW15 4AB
422276,2012-08-20T10:48:49.000,Telephone/Email,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2013-06-11T09:56:34.000,32X,105TH AV & INTERNATIONAL BLVD,Wandsworth,London,Wandsworth Town,SW18 4AA
951386,2019-10-07T22:38:29.000,FixMyStreet,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,12X,4444 TELEGRAPH AVE,Wandsworth,London,Southfields,SW19 6AB
703469,2017-01-11T08:54:10.000,Phone,Streets - Mudslides / Landslides,Street and Pavement Maintenance,Resolved,,2017-01-30T14:14:08.000,13Z,6018 BALBOA DR,Wandsworth,London,Northcote,SW11 5AA
914960,2019-06-13T14:05:05.000,Telephone Voicemail,Traffic - Sign Down,Traffic Signage Issues,Resolved,,2019-06-14T13:06:21.000,13X,4858 HARBORD DR,Wandsworth,London,Earlsfield,SW18 4AB
450255,2013-03-11T10:04:45.000,Online Form,City Bldg - Other,Council Building Maintenance,Resolved,,2013-03-19T06:20:44.000,03X,MAIN LIBRARY,Wandsworth,London,Graveney,SW17 0AA
857272,2018-12-03T10:45:48.000,FixMyStreet,Graffiti on Private Property,Graffiti Removal,Resolved,,2018-12-07T14:52:33.000,03X,157 9TH ST,Wandsworth,London,Southfields,SW18 5AA
893081,2019-04-07T09:00:54.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2019-04-09T21:19:22.000,06X,663 33RD ST,Wandsworth,London,Queenstown,SW8 3AA
795499,2018-02-20T18:19:07.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-02-22T18:58:18.000,05X,2011 LINDEN STREET,Wandsworth,London,Balham,SW12 9AB
943535,2019-09-11T14:08:05.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-10-02T11:09:21.000,21Y,2801 BELLAIRE PL,Wandsworth,London,Tooting,SW17 7AA
781582,2017-12-21T09:18:01.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2017-12-31T14:58:34.000,26Y,1304 75TH AV,Wandsworth,London,West Hill,SW15 3AA
566987,2015-02-15T10:20:20.000,FixMyStreet,Streets - Potholes/Depression,Street and Pavement Maintenance,In Progress,,,17Y,830 E 28TH ST,Wandsworth,London,West Putney,SW15 2AD
927109,2019-07-22T14:08:39.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2019-07-24T20:59:58.000,04X,1811 JEFFERSON ST,Wandsworth,London,Southfields,SW19 6AA
866186,2019-01-14T10:53:38.000,FixMyStreet,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,06X,3806 MARTIN LUTHER KING JR WAY,Wandsworth,London,Tooting,SW17 7AB
819247,2018-06-11T18:26:09.000,Email,Illegal Dumping (Enforcement Potential),Fly-Tipping,Resolved,,2018-06-14T10:27:58.000,31Z,701 105TH AV,Wandsworth,London,Graveney,SW17 0AC
909376,2019-05-30T13:58:36.000,FixMyStreet,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2019-06-05T09:10:04.000,13Y,6901 PINEHAVEN RD,Wandsworth,London,East Putney,SW15 1AB
854606,2018-11-20T08:37:21.000,Email,Fly-Tipping,Fly-Tipping,Resolved,,2018-12-01T16:08:11.000,05Y,MANDELA PKWY & 16TH ST,Wandsworth,London,Queenstown,SW8 4AB
723443,2017-04-05T13:23:29.000,Phone,City Bldg - Plumbing,Council Building Maintenance,Resolved,,2017-04-13T06:03:10.000,20X,ANIMAL SHELTER,Wandsworth,London,Tooting,SW17 8AB
440020,2013-01-02T14:02:14.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2013-01-22T16:24:44.000,15X,226 ATHOL AV,Wandsworth,London,East Putney,SW15 1AA
560195,2015-01-09T10:40:19.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2015-01-13T16:12:51.000,23X,1430 37TH AVENUE,Wandsworth,London,Graveney,SW17 0AC
551517,2014-11-19T11:50:20.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2014-11-22T12:06:10.000,21Y,3283 FRUITVALE AV,Wandsworth,London,Northcote,SW11 5AA
474570,2013-08-09T11:21:01.000,FixMyStreet,Illegal Dumping (report from SeeClickFix),Fly-Tipping,Resolved,,2013-08-19T13:42:07.000,07X,875 28TH ST,Wandsworth,London,Tooting,SW17 8AA
501015,2014-01-29T12:10:27.000,FixMyStreet,Graffiti on Traffic Sign(s),Traffic Signage Issues,Resolved,,2014-02-20T10:51:05.000,14X,GRAND AV & BAY PL,Wandsworth,London,St Mary's Park,SW11 4AA
756392,2017-08-30T06:33:32.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-09-05T17:16:43.000,07X,3028 ADELINE ST,Wandsworth,London,East Putney,SW15 1AB
464961,2013-06-11T14:12:26.000,Online Form,"City Bldg - Heating, Ventilation, and Cooling",Council Building Maintenance,UNFUNDED,,,19X,1235 INTERNATIONAL BLVD,Wandsworth,London,Southfields,SW18 5AC
799589,2018-03-07T08:41:47.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-03-08T17:55:16.000,12Y,6438 BENVENUE AV,Wandsworth,London,West Hill,SW18 1AE
453849,2013-04-04T11:08:35.000,Telephone/Email,Electrical Curb Box - Damaged/Missing,Street Lighting,Resolved,,2013-04-05T08:03:13.000,04X,550 18TH ST,Wandsworth,London,West Hill,SW18 1AE
822769,2018-06-27T11:09:48.000,Phone,Rough Sleeping Report,Environmental Hygiene,Cancelled by Customer,,,05Y,1900 CAMPBELL ST,Wandsworth,London,Tooting,SW17 7AA
939381,2019-08-28T14:43:10.000,Phone,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-11-22T12:05:18.000,32Y,2480 99TH AV,Wandsworth,London,Bedford,SW12 9AD
327821,2010-02-03T12:32:53.000,Telephone/Email,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2010-02-04T16:21:51.000,26Y,7660 HAWLEY ST,Wandsworth,London,Graveney,SW17 0AB
517486,2014-05-11T19:20:17.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2014-05-15T16:34:46.000,14X,520 VAN BUREN AV,Wandsworth,London,Roehampton and Putney Heath,SW15 5AB
339878,2010-06-18T08:53:26.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2010-06-18T18:30:05.000,33X,1055 82ND AV,Wandsworth,London,Southfields,SW19 6AA
944686,2019-09-16T09:20:42.000,Phone,Traffic - Repair Pavement Striping,Traffic Signage Issues,Resolved,,2019-11-19T07:34:14.000,16Y,HOLMAN RD & TRESTLE GLEN RD,Wandsworth,London,Bedford,SW12 8AA
532798,2014-08-04T09:10:29.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2014-08-07T16:57:04.000,34X,8901 HOLLY ST,Wandsworth,London,East Putney,SW15 1AB
378072,2011-08-05T12:03:19.000,Telephone/Email,Graffiti on Private Property,Graffiti Removal,Resolved,,2011-08-12T10:01:51.000,05X,1919  MARKET ST,Wandsworth,London,Southfields,SW19 6AA
364578,2011-03-24T12:06:41.000,Telephone/Email,Storm Drains - Clogged / Flooding,Blocked Drains,Resolved,,2011-04-26T17:43:25.000,29X,3000 60TH AV,Wandsworth,London,Roehampton and Putney Heath,SW15 4AA
725125,2017-04-12T13:31:50.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2017-04-19T16:46:33.000,27Y,1446 55TH AV,Wandsworth,London,East Putney,SW15 2AC
805248,2018-04-04T11:57:04.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-04-09T08:39:00.000,26Y,1241 80TH AV,Wandsworth,London,Tooting,SW17 8AC
637025,2016-02-25T09:00:30.000,Telephone/Email,TE - Traffic Control Plan Review,Traffic Management,Resolved,,2016-07-13T16:37:32.000,03X,8TH ST & FRANKLIN ST,Wandsworth,London,Wandsworth Town,SW18 3AD
314534,2009-09-01T14:41:46.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2009-09-02T17:07:48.000,23X,1303 HIGH ST,Wandsworth,London,East Putney,SW15 1AB
374338,2011-06-28T16:22:42.000,Telephone/Email,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2011-06-29T15:06:28.000,32X,10500 SAN LEANDRO BLVD,Wandsworth,London,Northcote,SW11 6AC
686521,2016-10-05T11:53:12.000,Online Form,Fly-Tipping,Fly-Tipping,Resolved,,2016-10-06T16:52:11.000,17X,E 20TH ST & 9TH AV,Wandsworth,London,Southfields,SW18 5AC
541083,2014-09-17T12:22:10.000,Phone,Street Cleaning - Complaints,Environmental Services,Resolved,,2014-11-09T09:41:33.000,30X,2422 68TH AV,Wandsworth,London,East Putney,SW15 1AB
592574,2015-07-15T16:13:26.000,Phone,Trash - Cart Replaced Incorrectly,Recycling,Resolved,,2015-07-16T14:29:14.000,,2700 WEST ST,Wandsworth,London,Nightingale,SW12 8AE
785065,2018-01-06T17:09:09.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Cancelled by Customer,,,07X,2634-2638 MARKET ST,Wandsworth,London,Northcote,SW11 6AA
353730,2010-11-30T08:55:45.000,Telephone/Email,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2010-11-30T16:19:31.000,32X,105TH AV & ROYAL ANN ST,Wandsworth,London,Graveney,SW17 0AB
883049,2019-03-04T11:08:09.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-03-07T07:59:05.000,07X,2857 HANNAH ST,Wandsworth,London,St Mary's Park,SW11 4AB
632012,2016-02-01T15:45:09.000,Phone,Recycling/Trash/Compost � Billing Question/Concern,Recycling,Resolved,,2016-02-01T15:45:14.000,,3541 DIMOND AVE,Wandsworth,London,Graveney,SW17 0AA
797484,2018-02-26T09:20:22.000,FixMyStreet,Litter - Street Litter Container - Overflowing/Mis,Fly-Tipping,Cancelled by Customer,,,28X,5410 FLEMING AVE,Wandsworth,London,Earlsfield,SW18 4AB
415273,2012-06-29T13:58:36.000,Telephone/Email,City Bldg - Structural Issue,Council Building Maintenance,Resolved,,2012-09-26T14:39:06.000,03Y,POLICE ADMIN BLDG,Wandsworth,London,Tooting,SW17 7AB
369049,2011-05-04T11:28:41.000,Telephone/Email,Street Lighting Fault,Street Lighting,Resolved,,2011-05-10T14:51:31.000,13X,5611 BUENA VISTA PL,Wandsworth,London,Northcote,SW11 6AC
755409,2017-08-25T08:01:32.000,FixMyStreet,Miscellaneous,OTHER,Referred to External Agency,"BAY CONSTRUCTION,",,07X,MANDELA PKWY & 24TH ST,Wandsworth,London,Roehampton and Putney Heath,SW15 4AB
22805,2010-07-08T13:37:14.000,Telephone/Email,Yard Trimmings - Food Pail Request,Recycling,Resolved,,2010-07-14T15:29:01.000,25X,4044 PATTERSON AV,Wandsworth,London,Balham,SW12 9AB
750690,2017-08-04T18:40:35.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-08-07T10:06:52.000,31Z,9901 PIPPIN ST,Wandsworth,London,St Mary's Park,SW11 3AE
738866,2017-06-14T11:20:44.000,Email,Miscellaneous,OTHER,Referred to External Agency,"NUISANCE, ABATEMENT",,27X,4507 BOND ST,Wandsworth,London,Southfields,SW18 5AA
351019,2010-10-24T21:45:13.000,Online Form,Tree - Limb Down,Tree Maintenance,Resolved,,2010-10-27T08:42:28.000,12Y,445 60TH ST,Wandsworth,London,East Putney,SW15 1AB
907303,2019-05-23T10:19:07.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-05-30T13:15:24.000,30X,7447 WELD ST,Wandsworth,London,Shaftesbury,SW11 1AB
914851,2019-06-13T11:00:10.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2019-07-02T20:21:10.000,02Y,525 CHESTER ST,Wandsworth,London,Northcote,SW11 6AC
317610,2009-10-06T12:08:38.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2009-10-12T09:59:45.000,11X,54TH ST & SHATTUCK AV,Wandsworth,London,East Putney,SW15 1AB
729309,2017-05-03T08:18:15.000,Email,Manhole Cover - Missing,Drainage,Resolved,,2017-05-17T12:56:34.000,13X,5399 HILLTOP CRES,Wandsworth,London,West Hill,SW18 1AE
911899,2019-06-06T23:14:26.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Cancelled by Customer,,,27X,2368 HIGH ST,Wandsworth,London,West Hill,SW15 3AC
355322,2010-12-17T15:52:09.000,Telephone/Email,Tree - Pruning,Tree Maintenance,Resolved,,2011-02-25T11:08:58.000,13X,127 MANDALAY RD,Wandsworth,London,Nightingale,SW12 9AG
756661,2017-08-31T09:28:23.000,Email,Compost Service Issue,Recycling,Resolved,,2017-08-31T15:33:53.000,14X,370 STATEN AV,Wandsworth,London,West Putney,SW15 2AF
467190,2013-06-25T16:29:42.000,Telephone/Email,Garbage Service Issue (not at City facility),Recycling,Resolved,,2013-07-11T16:34:24.000,24X,35TH AV & SALISBURY ST,Wandsworth,London,Southfields,SW18 5AA
529872,2014-07-18T14:53:19.000,Phone,Inspections - Curb Ramps,Public Right of Way Maintenance,In Progress,,,27Y,64TH AV & AVENAL AV,Wandsworth,London,East Putney,SW15 2AA
445626,2013-02-06T07:08:01.000,Telephone/Email,City Bldg - Plumbing,Council Building Maintenance,Resolved,,2013-02-14T10:06:09.000,12X,TEMESCAL POOL,Wandsworth,London,Thamesfield,SW15 5AC
599250,2015-08-17T10:59:52.000,Phone,Traffic - Repair Pavement Striping,Traffic Signage Issues,Resolved,,2015-08-20T08:29:39.000,08X,459 37TH ST,Wandsworth,London,West Hill,SW18 1AD
472204,2013-07-26T12:31:37.000,Telephone/Email,Tree - Limb Down,Tree Maintenance,Resolved,,2013-08-12T09:45:39.000,22Y,2961 MADELINE ST,Wandsworth,London,West Hill,SW18 1AD
578705,2015-04-27T09:30:32.000,FixMyStreet,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,33X,9001 INTERNATIONAL BLVD,Wandsworth,London,Bedford,SW12 9AE
334071,2010-04-15T08:42:35.000,Telephone/Email,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2010-05-06T07:39:41.000,14X,206 PERKINS ST,Wandsworth,London,Earlsfield,SW18 4AA
809711,2018-04-25T14:13:35.000,Email,Traffic - Repair Pavement Striping,Traffic Signage Issues,Resolved,,2018-05-02T08:01:07.000,35Y,GOLF LINKS RD & MOUNTAIN BLVD,Wandsworth,London,Bedford,SW12 8AA
482854,2013-09-26T12:01:14.000,FixMyStreet,Litter in Parks,Parks Maintenance,Resolved,,2013-11-12T10:29:09.000,22X,DIMOND PARK,Wandsworth,London,Bedford,SW12 8AC
823759,2018-07-02T11:16:38.000,Phone,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2018-07-10T12:15:40.000,13Y,GRIZZLY PEAK BLVD & LOMOS CANTADAS,Wandsworth,London,Tooting,SW17 8AC
901912,2019-05-05T21:51:22.000,FixMyStreet,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-05-08T11:03:17.000,31Y,597 85TH AVE,Wandsworth,London,Roehampton and Putney Heath,SW15 5AB
693709,2016-11-14T09:16:47.000,Phone,Sewers - Blockage,Drainage,Resolved,,2016-11-15T09:18:41.000,24X,2053 ROSEDALE AV,Wandsworth,London,Northcote,SW11 6AC
631047,2016-01-27T19:52:49.000,Online Form,Miscellaneous,OTHER,Referred to External Agency,"BAY CONSTRUCTION,",,05Y,MANDELA PARKWAY (PARK),Wandsworth,London,St Mary's Park,SW11 4AA
475635,2013-08-15T12:21:06.000,FixMyStreet,Illegal Dumping (report from SeeClickFix),Fly-Tipping,Resolved,,2013-08-19T14:31:00.000,30Y,2453 73RD AV,Wandsworth,London,Earlsfield,SW18 4AA
478799,2013-09-04T11:14:23.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2013-09-04T16:26:33.000,06X,36TH ST & MARTIN LUTHER KING JR WY,Wandsworth,London,Bedford,SW12 8AB
830471,2018-07-31T10:42:08.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2018-08-02T18:55:59.000,35X,8958 LAWLOR ST,Wandsworth,London,Wandsworth Common,SW12 8AG
422659,2012-08-22T12:10:00.000,Telephone/Email,Tree - Pruning,Tree Maintenance,UNFUNDED,,,05X,18TH ST & MARKET ST,Wandsworth,London,Northcote,SW11 5AB
311285,2009-07-28T09:53:25.000,Telephone/Email,Streets/Sidewalks - Unsafe Condition,Public Right of Way,Resolved,,2010-08-24T16:53:51.000,23X,1729 38TH AV,Wandsworth,London,Northcote,SW11 5AA
389171,2011-11-20T19:11:05.000,Online Form,Blocked Drains,Blocked Drains,Resolved,,2011-11-22T14:25:49.000,22Y,MIDVALE AV & WISCONSIN ST,Wandsworth,London,Northcote,SW11 6AB
828413,2018-07-23T08:15:04.000,Phone,Litter in Parks,Parks Maintenance,Resolved,,2018-08-30T15:14:45.000,26Y,DOLPHIN MINI PARK,Wandsworth,London,Graveney,SW17 0AB
395448,2012-01-26T14:58:09.000,Telephone/Email,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2012-08-30T14:20:24.000,14Y,MANDANA BLVD & VERMONT ST,Wandsworth,London,West Putney,SW15 2AD
758065,2017-09-07T11:12:38.000,Phone,Sewers - Blockage,Drainage,Resolved,,2017-09-11T20:04:12.000,32Y,9851 OLIVE ST,Wandsworth,London,Northcote,SW11 6AC
761816,2017-09-24T12:27:43.000,FixMyStreet,Illegal Dumping (report from SeeClickFix),Fly-Tipping,Cancelled by Customer,,,07X,1648 32ND ST,Wandsworth,London,Roehampton and Putney Heath,SW15 4AC
624322,2015-12-23T10:40:26.000,FixMyStreet,"Graffiti on Street, Street Light, Traffic Signal,",Graffiti Removal,Resolved,,2016-01-04T09:50:42.000,14Y,3354 GRAND AV,Wandsworth,London,Shaftesbury,SW11 1AA
631912,2016-02-01T11:19:50.000,Phone,Oakland Police - Abandoned Auto,OTHER,Referred to External Agency,"OPD ABANDONED AUTOS, PUBLIC",,34X,96TH AV & HOLLY ST,Wandsworth,London,Balham,SW12 0AA
354891,2010-12-14T09:48:41.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2010-12-14T13:47:38.000,06X,860 37TH ST,Wandsworth,London,Graveney,SW17 9AA
927623,2019-07-23T16:52:09.000,FixMyStreet,Streets - Street Deterioration,Street and Pavement Maintenance,In Progress,,,05X,1478 MANDELA PKWY,Wandsworth,London,West Putney,SW15 2AE
759707,2017-09-14T10:29:33.000,Online Form,Fly-Tipping,Fly-Tipping,Cancelled by Customer,,,,45TH STREET BETWEEN MLK AND TELEGRAPH,Wandsworth,London,East Putney,SW15 1AB
312728,2009-08-13T15:05:24.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2009-08-15T10:45:22.000,31Z,560 105TH AV,Wandsworth,London,Graveney,SW17 9AA
316363,2009-09-23T11:21:39.000,Telephone/Email,Graffiti,Graffiti Removal,Resolved,,2009-09-28T09:41:37.000,12Y,5900 CANNING ST,Wandsworth,London,Southfields,SW19 6AA
659093,2016-06-07T14:48:58.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2016-06-11T12:40:19.000,19X,1428 19TH AV,Wandsworth,London,Tooting,SW17 8AB
451462,2013-03-19T08:21:30.000,FixMyStreet,Street Lighting Fault,Street Lighting,Resolved,,2013-03-21T08:06:50.000,04X,344 20TH ST,Wandsworth,London,Wandsworth Town,SW18 4AA
846823,2018-10-14T15:22:05.000,Email,Fly-Tipping,Fly-Tipping,Cancelled by Customer,,,03X,6TH ST & HARRISON ST,Wandsworth,London,Bedford,SW12 8AC
951124,2019-10-07T11:19:15.000,Phone,Sewers - Blockage,Drainage,Resolved,,2019-11-04T13:40:56.000,09X,91 MONTE CRESTA AV,Wandsworth,London,Tooting,SW17 8AC
594653,2015-07-26T13:00:37.000,FixMyStreet,Inspections - Utility Wire,Public Right of Way,Referred to External Agency,"ROW_SHOES, COMCAST",,21X,E 17TH ST & 24TH AV,Wandsworth,London,Bedford,SW12 9AD
889538,2019-03-26T12:56:40.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2019-03-29T10:48:59.000,17Y,3318 ELLIOT ST,Wandsworth,London,Southfields,SW18 5AC
915076,2019-06-13T20:37:08.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2019-06-15T17:33:04.000,07X,BRUSH ST & 23RD ST,Wandsworth,London,East Putney,SW15 2AB
745691,2017-07-14T14:36:10.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-07-17T20:25:46.000,06X,944 W MACARTHUR BLVD,Wandsworth,London,Queenstown,SW8 4AA
426403,2012-09-19T15:20:40.000,Telephone/Email,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2012-09-26T16:58:34.000,30Y,2757 78TH AV,Wandsworth,London,East Putney,SW15 1AB
602288,2015-09-01T23:17:24.000,Online Form,Inspections - Utility-Related Infrastructure,Right of Way Inspectors,In Progress,,,27Y,5918 BROMLEY AV,Wandsworth,London,Wandsworth Town,SW18 4AC
568169,2015-02-23T08:00:34.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2015-02-24T17:09:26.000,07X,BEACH ST & 34TH ST,Wandsworth,London,Wandsworth Common,SW12 8AH
955458,2019-10-22T10:27:56.000,Email,City Bldg - Key / Lock Management,Council Building Maintenance,Work Order Created,,,18Y,ERNEST A ROBINSON (MANZANITA) RECREATION CTR,Wandsworth,London,East Putney,SW15 1AB
340442,2010-06-24T11:07:30.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2010-06-24T16:06:38.000,07X,931 28TH STREET,Wandsworth,London,West Putney,SW15 1AC
957789,2019-10-29T12:23:19.000,FixMyStreet,"Graffiti on Street, Street Light, Traffic Signal,",Graffiti Removal,Resolved,,2019-10-30T15:31:53.000,07X,24TH ST,Wandsworth,London,West Hill,SW15 3AC
660212,2016-06-13T07:04:41.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2016-06-16T17:15:28.000,33X,939 88TH AV,Wandsworth,London,Southfields,SW18 5AB
848621,2018-10-22T15:34:59.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-10-25T16:12:26.000,23X,WATTLING ST & 39TH AV,Wandsworth,London,Nightingale,SW12 8AD
449700,2013-03-06T12:28:15.000,Online Form,"City Bldg - Heating, Ventilation, and Cooling",Council Building Maintenance,Resolved,,2013-03-10T21:48:44.000,03X,MAIN LIBRARY,Wandsworth,London,Southfields,SW19 6AA
534651,2014-08-12T16:17:08.000,Phone,Tree - Pruning,Tree Maintenance,UNFUNDED,,,22X,2734 MACARTHUR BLVD,Wandsworth,London,West Putney,SW15 2AE
738305,2017-06-12T09:52:52.000,FixMyStreet,Illegal Dumping (report from SeeClickFix),Fly-Tipping,Cancelled by Customer,,,23X,700-798 37TH AVENUE,Wandsworth,London,Northcote,SW11 5AB
680790,2016-09-08T08:33:47.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2016-09-12T16:47:36.000,31Z,805 PRUNE ST,Wandsworth,London,Graveney,SW17 9AB
